"Creado el","Empresa","Fin de prefijo de código","Inicio de prefijo de código","Nombre"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.04","109.04","Seguros y fianzas pagados por anticipado extranjero parte relacionada"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.05","109.05","Rentas pagados por anticipado nacional"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.06","109.06","Rentas pagados por anticipado extranjero"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.07","109.07","Rentas pagados por anticipado nacional parte relacionada"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.08","109.08","Rentas pagados por anticipado extranjero parte relacionada"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.09","109.09","Intereses pagados por anticipado nacional"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.10","109.10","Intereses pagados por anticipado extranjero"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.11","109.11","Intereses pagados por anticipado nacional parte relacionada"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.12","109.12","Intereses pagados por anticipado extranjero parte relacionada"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.13","109.13","Factoraje financiero pagados por anticipado nacional"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.14","109.14","Factoraje financiero pagados por anticipado extranjero"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.15","109.15","Factoraje financiero pagados por anticipado nacional parte relacionada"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.16","109.16","Factoraje financiero pagados por anticipado extranjero parte relacionada"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.17","109.17","Arrendamiento financiero pagados por anticipado nacional"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.18","109.18","Arrendamiento financiero pagados por anticipado extranjero"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.19","109.19","Arrendamiento financiero pagados por anticipado nacional parte relacionada"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.20","109.20","Arrendamiento financiero pagados por anticipado extranjero parte relacionada"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.21","109.21","Pérdida por deterioro de pagos anticipados"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.22","109.22","Derechos fiduciarios"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","109.23","109.23","Otros pagos anticipados"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","110","110","Subsidio al empleo por aplicar"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","110.01","110.01","Subsidio al empleo por aplicar"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","111","111","Crédito al diesel por acreditar"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","111.01","111.01","Crédito al diesel por acreditar"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","112","112","Otros estímulos"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","112.01","112.01","Otros estímulos"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","113","113","Impuestos a favor"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","113.01","113.01","IVA a favor"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","113.02","113.02","ISR a favor"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","113.03","113.03","IETU a favor"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","113.04","113.04","IDE a favor"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","113.05","113.05","IA a favor"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","113.06","113.06","Subsidio al empleo"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","113.07","113.07","Pago de lo indebido"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","113.08","113.08","Otros impuestos a favor"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","114","114","Pagos provisionales"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","114.01","114.01","Pagos provisionales de ISR"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","115","115","Inventario"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","115.01","115.01","Inventario"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","115.02","115.02","Materia prima y materiales"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","115.03","115.03","Producción en proceso"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","115.04","115.04","Productos terminados"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","115.05","115.05","Mercancías en tránsito"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","115.06","115.06","Mercancías en poder de terceros"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","115.07","115.07","Otros"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","116","116","Estimación de inventarios obsoletos y de lento movimiento"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","116.01","116.01","Estimación de inventarios obsoletos y de lento movimiento"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","117","117","Obras en proceso de inmuebles"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","117.01","117.01","Obras en proceso de inmuebles"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","118","118","Impuestos acreditables pagados"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","118.01","118.01","IVA acreditable pagado"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","118.02","118.02","IVA acreditable de importación pagado"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","118.03","118.03","IEPS acreditable pagado"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","118.04","118.04","IEPS pagado en importación"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","119","119","Impuestos acreditables por pagar"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","119.01","119.01","IVA pendiente de pago"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","119.02","119.02","IVA de importación pendiente de pago"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","119.03","119.03","IEPS pendiente de pago"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","119.04","119.04","IEPS pendiente de pago en importación"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","120","120","Anticipo a proveedores"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","120.01","120.01","Anticipo a proveedores nacional"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","120.02","120.02","Anticipo a proveedores extranjero"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","120.03","120.03","Anticipo a proveedores nacional parte relacionada"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","120.04","120.04","Anticipo a proveedores extranjero parte relacionada"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","121","121","Otros activos a corto plazo"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","121.01","121.01","Otros activos a corto plazo"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","151","151","Terrenos"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","151.01","151.01","Terrenos"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","152","152","Edificios"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","152.01","152.01","Edificios"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","153","153","Maquinaria y equipo"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","153.01","153.01","Maquinaria y equipo"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","154","154","Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","154.01","154.01","Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","155","155","Mobiliario y equipo de oficina"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","155.01","155.01","Mobiliario y equipo de oficina"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","156","156","Equipo de cómputo"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","156.01","156.01","Equipo de cómputo"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","157","157","Equipo de comunicación"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","157.01","157.01","Equipo de comunicación"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","158","158","Activos biológicos, vegetales y semovientes"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","158.01","158.01","Activos biológicos, vegetales y semovientes"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","159","159","Obras en proceso de activos fijos"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","159.01","159.01","Obras en proceso de activos fijos"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","160","160","Otros activos fijos"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","160.01","160.01","Otros activos fijos"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","161","161","Ferrocarriles"
"2025-05-05 11:32:31","R&B PROYECTOS ESTRATEGICOS Y ECONOMIA SC","161.01","161.01","Ferrocarriles"
